Dummy Policy No,ASSURED_AGE,NOMINEE_RELATION,OCCUPATION,POLICY SUMASSURED,Premium,PREMIUMPAYMENTMODE,Annual Income,HOLDERMARITALSTATUS,INDIV_REQUIREMENTFLAG,Policy Term,Policy Payment Term,CORRESPONDENCECITY,CORRESPONDENCESTATE,CORRESPONDENCEPOSTCODE,Product Type,CHANNEL,Bank code,POLICYRISKCOMMENCEMENTDATE,Date of Death,INTIMATIONDATE,STATUS,SUB_STATUS,Fraud Category
619,53,Wife,Service,"  500,000 ","  30,932 ",Yearly,"  500,000 ",Married,Non Medical,10,10,Shajapur,Madhya Pradesh,465331,Traditional,Bancassurance,1,24-02-2023,-,-,Cancellation,Other Reason,Misrepresentation
620,40,Son,Service,"  1,600,000 ","  39,927 ",Yearly,"  540,000 ",Married,Non Medical,10,10,Kanpur,Uttar Pradesh,208025,Traditional,Bancassurance,1,24-02-2023,-,-,Cancellation,Other Reason,Misrepresentation
621,46,Son,Business,"  950,000 ","  17,841 ",Half yearly,"  480,000 ",Married,Non Medical,27,10,Sahajanwa,Uttar Pradesh,273209,Traditional,Retail Agency,,09-03-2023,-,-,Cancellation,Other Reason,Misrepresentation
622,53,Spouse,Service,"  500,000 ","  31,977 ",Yearly,"  804,000 ",Married,Medical,10,10,Dhanbad,Jharkhand,828125,Traditional,Bancassurance,1,03-03-2023,-,-,Cancellation,Other Reason,Misrepresentation
623,55,Son,Service,"  800,000 ","  54,666 ",Yearly,"  960,000 ",Married,Medical,10,10,SINGHBHUM,Jharkhand,833222,Traditional,Bancassurance,1,16-03-2023,-,-,Cancellation,Other Reason,Misrepresentation
624,56,Wife,Service,"  530,000 ","  29,343 ",Yearly,"  840,000 ",Married,Medical,10,10,MARIGAON,Assam,782104,Traditional,Bancassurance,1,15-03-2023,-,-,Cancellation,Other Reason,Misrepresentation
625,57,Wife,Service,"  520,000 ","  39,652 ",Yearly,"  540,000 ",Married,Medical,10,10,BHAGALPUR,Bihar,812006,Traditional,Bancassurance,1,21-03-2023,-,-,Cancellation,Other Reason,Misrepresentation
626,53,Wife,Service,"  800,000 ","  50,787 ",Yearly,"  720,000 ",Married,Medical,10,10,HAZARIBAG,Jharkhand,829129,Traditional,Bancassurance,1,18-03-2023,-,-,Cancellation,Other Reason,Misrepresentation
627,51,Wife,Service,"  500,000 ","  28,685 ",Yearly,"  600,000 ",Married,Medical,10,10,KORBA,Chhattisgarh,495454,Traditional,Bancassurance,1,21-03-2023,-,-,Cancellation,Other Reason,Misrepresentation
628,56,Wife,Service,"  500,000 ","  27,682 ",Yearly,"  756,000 ",Married,Medical,10,10,CUDDAPAH,Andhra Pradesh,516269,Traditional,Bancassurance,1,24-03-2023,-,-,Cancellation,Other Reason,Misrepresentation
629,40,Wife,Service,"  875,000 ","  24,853 ",Yearly,"  780,000 ",Married,Medical,10,10,DHANBAD,Jharkhand,828206,Traditional,Bancassurance,1,23-03-2023,-,-,Cancellation,Other Reason,Misrepresentation
630,51,Wife,Service,"  1,000,000 ","  36,205 ",Monthly,"  750,000 ",Married,Medical,24,10,BOKARO STEEL CITY,Jharkhand,827006,Traditional,Retail Agency,,23-03-2023,-,-,Cancellation,Other Reason,Misrepresentation
631,54,Husband,Service,"  500,000 ","  19,860 ",Yearly,"  780,000 ",Married,Non Medical,20,10,PURI,Odisha,752106,Traditional,Retail Agency,,04-04-2023,-,-,Cancellation,Other Reason,Misrepresentation
632,52,Wife,Service,"  500,000 ","  22,431 ",Yearly,"  504,000 ",Married,Non Medical,10,10,BIJNOR,Uttar Pradesh,246762,Traditional,Bancassurance,1,23-03-2023,-,-,Cancellation,Other Reason,Misrepresentation
633,50,Wife,Service,"  600,000 ","  31,237 ",Yearly,"  660,000 ",Married,Non Medical,10,10,NAGAON,Assam,782460,Traditional,Bancassurance,1,25-03-2023,-,-,Cancellation,Other Reason,Misrepresentation
634,56,Son,Service,"  500,000 ","  36,230 ",Yearly,"  1,000,000 ",Married,Medical,10,10,SONITPUR,Assam,784110,Traditional,Bancassurance,1,18-04-2023,-,-,Cancellation,Other Reason,Misrepresentation
635,49,Spouse,Service,"  1,000,000 ","  47,966 ",Yearly,"  600,000 ",Married,Non Medical,10,10,SONEPAT,Haryana,131103,Traditional,Bancassurance,1,25-03-2023,-,-,Cancellation,Other Reason,Misrepresentation
636,47,Wife,Service,"  1,130,000 ","  49,926 ",Yearly,"  1,200,000 ",Married,Medical,10,10,DHANBAD,Jharkhand,826001,Traditional,Bancassurance,1,11-04-2023,-,-,Cancellation,Other Reason,Misrepresentation
637,48,Wife,Service,"  660,000 ","  30,450 ",Yearly,"  600,000 ",Married,Medical,10,10,BASTI,Uttar Pradesh,272001,Traditional,Bancassurance,1,31-03-2023,-,-,Cancellation,Other Reason,Misrepresentation
638,51,Son,Self-Employed,"  500,000 ","  27,640 ",Yearly,"  720,000 ",Married,Non Medical,10,10,DURG,Chhattisgarh,490024,Traditional,Retail Agency,,30-03-2023,-,-,Cancellation,Other Reason,Misrepresentation
639,54,Wife,Service,"  500,000 ","  24,965 ",Yearly,"  576,000 ",Married,Non Medical,10,10,LATUR,Maharashtra,413515,Traditional,Retail Agency,,31-03-2023,-,-,Cancellation,Other Reason,Misrepresentation
640,52,Wife,Service,"  700,000 ","  42,529 ",Yearly,"  700,000 ",Married,Medical,10,10,BURDWAN,West Bengal,713378,Traditional,Bancassurance,1,24-04-2023,-,-,Cancellation,Other Reason,Misrepresentation
641,52,Spouse,Service,"  600,000 ","  35,200 ",Yearly,"  700,000 ",Married,Medical,10,10,RAJSAMAND,Rajasthan,313211,Traditional,Bancassurance,1,19-04-2023,-,-,Cancellation,Other Reason,Misrepresentation
642,47,Spouse,Service,"  700,000 ","  30,269 ",Yearly,"  420,000 ",Married,Medical,10,10,MAHABUBNAGAR,Telangana,509301,Traditional,Bancassurance,1,12-04-2023,-,-,Cancellation,Other Reason,Misrepresentation
643,50,Daughter,Service,"  500,000 ","  26,031 ",Yearly,"  600,000 ",Married,Non Medical,10,10,BHIWANI,Haryana,127310,Traditional,Bancassurance,1,11-04-2023,-,-,Cancellation,Other Reason,Misrepresentation
644,54,Wife,Service,"  930,000 ","  60,274 ",Yearly,"  1,000,000 ",Married,Medical,10,10,SARAN,Bihar,841101,Traditional,Bancassurance,1,25-05-2023,-,-,Cancellation,Other Reason,Misrepresentation
645,55,Wife,Service,"  730,000 ","  50,226 ",Yearly,"  660,000 ",Married,Medical,10,10,SAHARSA,Bihar,852201,Traditional,Bancassurance,1,19-04-2023,-,-,Cancellation,Other Reason,Misrepresentation
646,49,Wife,Service,"  800,000 ","  38,916 ",Yearly,"  696,000 ",Married,Non Medical,10,10,HYDERABAD,Telangana,500040,Traditional,Bancassurance,1,13-04-2023,-,-,Cancellation,Other Reason,Misrepresentation
647,52,Wife,Service,"  500,000 ","  29,333 ",Yearly,"  624,000 ",Married,Medical,10,10,SAHIBGANJ,Jharkhand,816115,Traditional,Bancassurance,1,29-04-2023,-,-,Cancellation,Other Reason,Misrepresentation
648,46,Wife,Service,"  500,000 ","  20,205 ",Yearly,"  7,000,000 ",Married,Non Medical,10,10,BIDAR,Karnataka,585415,Traditional,Bancassurance,1,18-04-2023,-,-,Cancellation,Other Reason,Misrepresentation
649,54,Wife,Service,"  550,000 ","  35,905 ",Yearly,"  600,000 ",Married,Medical,10,10,BARPETA,Assam,781321,Traditional,Bancassurance,1,28-04-2023,-,-,Cancellation,Other Reason,Misrepresentation
650,48,Wife,Service,"  500,000 ","  22,572 ",Yearly,"  480,000 ",Married,Non Medical,10,10,CHITTORGARH,Rajasthan,312615,Traditional,Bancassurance,1,20-04-2023,-,-,Cancellation,Other Reason,Misrepresentation
651,55,Wife,Service,"  500,000 ","  34,401 ",Yearly,"  720,000 ",Married,Non Medical,10,10,JHABUA,Madhya Pradesh,457993,Traditional,Bancassurance,1,20-04-2023,-,-,Cancellation,Other Reason,Misrepresentation
652,54,Wife,Service,"  500,000 ","  32,641 ",Yearly,"  660,000 ",Married,Non Medical,10,10,HAMIRPUR,Uttar Pradesh,210341,Traditional,Bancassurance,1,27-04-2023,-,-,Cancellation,Other Reason,Misrepresentation
653,53,Wife,Service,"  500,000 ","  30,932 ",Yearly,"  576,000 ",Married,Medical,10,10,RAIPUR,Chhattisgarh,493344,Traditional,Bancassurance,1,27-04-2023,-,-,Cancellation,Other Reason,Misrepresentation
654,46,Wife,Service,"  800,000 ","  31,952 ",Yearly,"  300,000 ",Married,Non Medical,10,10,JHABUA,Madhya Pradesh,457779,Traditional,Bancassurance,1,02-05-2023,-,-,Cancellation,Other Reason,Misrepresentation
655,55,Wife,Service,"  500,000 ","  34,401 ",Yearly,"  540,000 ",Married,Non Medical,10,10,BHAGALPUR,Bihar,813105,Traditional,Bancassurance,1,05-05-2023,-,-,Cancellation,Other Reason,Misrepresentation
656,52,Son,Service,"  1,000,000 ","  57,517 ",Yearly,"  1,200,000 ",Married,Medical,10,10,HYDERABAD,Telangana,500010,Traditional,Bancassurance,1,11-05-2023,-,-,Cancellation,Other Reason,Misrepresentation
657,48,Wife,Service,"  700,000 ","  33,759 ",Yearly,"  720,000 ",Married,Non Medical,10,10,BURDWAN,West Bengal,713346,Traditional,Bancassurance,1,09-05-2023,-,-,Cancellation,Other Reason,Misrepresentation
658,54,Son,Service,"  500,000 ","  33,946 ",Half yearly,"  672,000 ",Married,Medical,10,10,RAIPUR,Chhattisgarh,492001,Traditional,Bancassurance,1,06-06-2023,-,-,Cancellation,Other Reason,Misrepresentation
659,56,Wife,Service,"  500,000 ","  36,230 ",Yearly,"  660,000 ",Married,Medical,10,10,NOWGONG,Assam,782140,Traditional,Bancassurance,1,18-05-2023,-,-,Cancellation,Other Reason,Misrepresentation
660,47,Wife,Service,"  800,000 ","  34,217 ",Yearly,"  660,000 ",Married,Non Medical,10,10,SERAIKELA-KHARSAWAN,Jharkhand,833216,Traditional,Bancassurance,1,05-05-2023,-,-,Cancellation,Other Reason,Misrepresentation
661,49,Wife,Service,"  900,000 ","  43,780 ",Yearly,"  600,000 ",Married,Non Medical,10,10,TIRUTANI,Tamil Nadu,631209,Traditional,Bancassurance,1,08-05-2023,-,-,Cancellation,Other Reason,Misrepresentation
662,50,Wife,Service,"  1,000,000 ","  50,912 ",Yearly,"  800,000 ",Married,Non Medical,10,10,NIZAMABAD,Telangana,503187,Traditional,Bancassurance,1,12-05-2023,-,-,Cancellation,Other Reason,Misrepresentation
663,57,Wife,Service,"  500,000 ","  29,129 ",Yearly,"  500,000 ",Married,Medical,10,10,BURDWAN,West Bengal,713102,Traditional,Bancassurance,1,22-05-2023,-,-,Cancellation,Other Reason,Misrepresentation
664,53,Son,Service,"  1,000,000 ","  60,715 ",Yearly,"  600,000 ",Married,Medical,10,10,DHAR,Madhya Pradesh,454331,Traditional,Bancassurance,1,02-06-2023,-,-,Cancellation,Other Reason,Misrepresentation
665,48,Wife,Service,"  900,000 ","  41,100 ",Yearly,"  300,000 ",Married,Non Medical,10,10,Sehore,Madhya Pradesh,466116,Traditional,Bancassurance,1,17-05-2023,-,-,Cancellation,Other Reason,Misrepresentation
666,50,Daughter,Service,"  540,000 ","  28,113 ",Yearly,"  576,000 ",Married,Non Medical,10,10,NEW DELHI,Delhi,110034,Traditional,Bancassurance,1,18-05-2023,-,-,Cancellation,Other Reason,Misrepresentation
667,47,Wife,Service,"  500,000 ","  21,621 ",Yearly,"  600,000 ",Married,Non Medical,10,10,Bilaspur,Chhattisgarh,495006,Traditional,Bancassurance,1,18-05-2023,-,-,Cancellation,Other Reason,Misrepresentation
668,55,Son,Service,"  500,000 ","  26,297 ",Yearly,"  600,000 ",Married,Non Medical,10,10,MUKTSAR,Punjab,152026,Traditional,Bancassurance,1,22-05-2023,-,-,Cancellation,Other Reason,Misrepresentation
669,51,Wife,Service,"  800,000 ","  43,848 ",Yearly,"  850,000 ",Married,Medical,10,10,JHANSI,Uttar Pradesh,284001,Traditional,Bancassurance,1,23-05-2023,-,-,Cancellation,Other Reason,Misrepresentation
670,46,Spouse,Service,"  500,000 ","  20,205 ",Yearly,"  540,000 ",Married,Non Medical,10,10,MAHASAMUND,Chhattisgarh,493445,Traditional,Bancassurance,1,18-05-2023,-,-,Cancellation,Other Reason,Misrepresentation
671,57,Wife,Service,"  500,000 ","  29,129 ",Yearly,"  600,000 ",Married,Medical,10,10,BARPETA,Assam,781316,Traditional,Bancassurance,1,07-06-2023,-,-,Cancellation,Other Reason,Misrepresentation
672,56,Wife,Service,"  500,000 ","  36,230 ",Yearly,"  744,000 ",Married,Medical,10,10,BARPETA,Assam,781328,Traditional,Bancassurance,1,30-05-2023,-,-,Cancellation,Other Reason,Misrepresentation
673,54,Wife,Service,"  500,000 ","  32,641 ",Yearly,"  800,000 ",Married,Non Medical,10,10,BAGALKOT,Karnataka,587120,Traditional,Bancassurance,1,22-05-2023,-,-,Cancellation,Other Reason,Misrepresentation
674,48,Wife,Service,"  550,000 ","  25,375 ",Yearly,"  400,000 ",Married,Non Medical,10,10,PURNIA,Bihar,854102,Traditional,Bancassurance,1,22-05-2023,-,-,Cancellation,Other Reason,Misrepresentation
675,51,Wife,Service,"  500,000 ","  21,219 ",Yearly,"  600,000 ",Married,Non Medical,10,10,CUDDALORE,Tamil Nadu,607802,Traditional,Retail Agency,,25-05-2023,-,-,Cancellation,Other Reason,Misrepresentation
676,47,Spouse,Service,"  1,100,000 ","  46,302 ",Yearly,"  780,000 ",Married,Non Medical,10,10,NEW DELHI,Delhi,110085,Traditional,Bancassurance,1,29-05-2023,-,-,Cancellation,Other Reason,Misrepresentation
677,46,Son,Service,"  500,000 ","  20,205 ",Yearly,"  540,000 ",Married,Non Medical,10,10,ALIGARH,Uttar Pradesh,202001,Traditional,Bancassurance,1,30-05-2023,-,-,Cancellation,Other Reason,Misrepresentation
678,54,Wife,Service,"  500,000 ","  32,641 ",Yearly,"  600,000 ",Married,Non Medical,10,10,Nalbari,Assam,781378,Traditional,Bancassurance,1,03-06-2023,-,-,Cancellation,Other Reason,Misrepresentation
679,50,Wife,Service,"  700,000 ","  36,443 ",Yearly,"  540,000 ",Married,Non Medical,10,10,KANPUR,Uttar Pradesh,208002,Traditional,Bancassurance,1,05-06-2023,-,-,Cancellation,Other Reason,Misrepresentation
680,46,Wife,Service,"  750,000 ","  29,955 ",Yearly,"  600,000 ",Married,Non Medical,10,10,KORAPUT,Odisha,764028,Traditional,Bancassurance,1,08-06-2023,-,-,Cancellation,Other Reason,Misrepresentation
681,59,Wife,Agriculturist,"  2,500,000 ","  199,464 ",Yearly,"  480,000 ",Married,Medical,16,10,Nizamabad,Telangana,503219,Traditional,Bancassurance,8,10-07-2023,-,-,Cancellation,Other Reason,Misrepresentation
682,52,Wife,Service,"  900,000 ","  29,080 ",Yearly,"  720,000 ",Married,Medical,15,10,NALBARI,Assam,781369,Traditional,Bancassurance,1,26-06-2023,-,-,Cancellation,Other Reason,Misrepresentation
683,58,Wife,Service,"  533,000 ","  30,038 ",Yearly,"  600,000 ",Married,Medical,11,10,BARPETA,Assam,781318,Traditional,Bancassurance,1,06-07-2023,-,-,Cancellation,Other Reason,Misrepresentation
684,56,Wife,Service,"  550,000 ","  30,450 ",Yearly,"  540,000 ",Married,Medical,10,10,NALBARI,Assam,781355,Traditional,Bancassurance,1,11-07-2023,-,-,Cancellation,Other Reason,Misrepresentation
685,52,Wife,Service,"  565,000 ","  34,327 ",Yearly,"  669,600 ",Married,Medical,10,10,BOKARO,Jharkhand,829116,Traditional,Bancassurance,1,21-07-2023,-,-,Cancellation,Other Reason,Misrepresentation
686,59,Son,Service,"  1,196,000 ","  100,036 ",Yearly,"  2,400,000 ",Married,Medical,10,10,SOUTH 24 PARGANAS,West Bengal,700144,Traditional,Bancassurance,1,07-07-2023,-,-,Cancellation,Other Reason,Misrepresentation
687,54,Wife,Service,"  500,000 ","  32,641 ",Yearly,"  420,000 ",Married,Medical,10,10,JYOTIBA PHULE NAGAR,Uttar Pradesh,244221,Traditional,Bancassurance,1,15-07-2023,-,-,Cancellation,Other Reason,Misrepresentation
688,57,Spouse,Service,"  500,000 ","  38,127 ",Yearly,"  800,000 ",Married,Medical,10,10,Koraput,Odisha,764002,Traditional,Bancassurance,1,26-07-2023,-,-,Cancellation,Other Reason,Misrepresentation
689,61,Wife,Business,"  1,100,000 ","  59,429 ",Yearly,"  1,260,000 ",Married,Medical,14,10,BALASORE,Odisha,756032,Traditional,Bancassurance,1,17-07-2023,-,-,Cancellation,Other Reason,Misrepresentation
690,50,Wife,Service,"  600,000 ","  31,237 ",Yearly,"  600,000 ",Married,Non Medical,10,10,Gulbarga,Karnataka,585223,Traditional,Bancassurance,1,20-07-2023,-,-,Cancellation,Other Reason,Misrepresentation
691,49,Wife,Service,"  510,000 ","  25,049 ",Yearly,"  576,000 ",Married,Non Medical,10,10,SIBSAGAR,Assam,785705,Traditional,Bancassurance,1,11-07-2023,-,-,Cancellation,Other Reason,Misrepresentation
692,52,Wife,Service,"  500,000 ","  29,333 ",Yearly,"  800,000 ",Married,Non Medical,10,10,GIRIDIH,Jharkhand,815314,Traditional,Bancassurance,1,14-07-2023,-,-,Cancellation,Other Reason,Misrepresentation
693,55,Wife,Service,"  500,000 ","  35,446 ",Yearly,"  750,000 ",Married,Medical,10,10,GIRIDIH,Jharkhand,815301,Traditional,Bancassurance,1,17-07-2023,-,-,Cancellation,Other Reason,Misrepresentation
694,57,Wife,Service,"  500,000 ","  38,127 ",Yearly,"  828,000 ",Married,Medical,10,10,Kurnool,Andhra Pradesh,518001,Traditional,Bancassurance,1,24-07-2023,-,-,Cancellation,Other Reason,Misrepresentation
695,48,Son,Service,"  900,000 ","  41,100 ",Yearly,"  600,000 ",Married,Medical,10,10,KORAPUT,Odisha,764058,Traditional,Bancassurance,1,19-07-2023,-,-,Cancellation,Other Reason,Misrepresentation
696,55,Wife,Service,"  500,000 ","  34,401 ",Yearly,"  600,000 ",Married,Medical,10,10,Bhopal,Madhya Pradesh,462001,Traditional,Bancassurance,1,27-07-2023,-,-,Cancellation,Other Reason,Misrepresentation
697,48,Spouse,Service,"  500,000 ","  23,068 ",Yearly,"  720,000 ",Married,Non Medical,10,10,Nalbari,Assam,781344,Traditional,Bancassurance,1,25-08-2023,-,-,Cancellation,Other Reason,Misrepresentation
698,50,Wife,Service,"  600,000 ","  31,237 ",Yearly,"  504,000 ",Married,Non Medical,10,10,KRISHNA,Andhra Pradesh,520001,Traditional,Bancassurance,1,19-07-2023,-,-,Cancellation,Other Reason,Misrepresentation
699,60,Wife,Service,"  550,000 ","  49,101 ",Yearly,"  600,000 ",Married,Medical,10,10,AURANGABAD,Bihar,824101,Traditional,Bancassurance,1,27-07-2023,-,-,Cancellation,Other Reason,Misrepresentation
700,50,Wife,Service,"  700,000 ","  36,443 ",Yearly,"  912,000 ",Married,Non Medical,10,10,NALBARI,Assam,781340,Traditional,Bancassurance,1,26-07-2023,-,-,Cancellation,Other Reason,Misrepresentation
701,48,Wife,Service,"  700,000 ","  32,296 ",Yearly,"  720,000 ",Married,Non Medical,10,10,Jalandhar,Punjab,144418,Traditional,Bancassurance,1,27-07-2023,-,-,Cancellation,Other Reason,Misrepresentation
702,51,Wife,Service,"  500,000 ","  27,640 ",Yearly,"  960,000 ",Married,Non Medical,10,10,HISAR,Haryana,125001,Traditional,Bancassurance,1,05-08-2023,-,-,Cancellation,Other Reason,Misrepresentation
703,48,Wife,Service,"  1,120,000 ","  50,386 ",Yearly,"  400,000 ",Married,Non Medical,10,10,BHILWARA,Rajasthan,311001,Traditional,Bancassurance,1,08-08-2023,-,-,Cancellation,Other Reason,Misrepresentation
704,51,Wife,Service,"  750,000 ","  41,108 ",Yearly,"  700,000 ",Married,Medical,10,10,-,-,-,Traditional,Bancassurance,1,11-08-2023,-,-,Cancellation,Other Reason,Misrepresentation
705,51,Wife,Service,"  650,000 ","  37,291 ",Yearly,"  600,000 ",Married,Medical,10,10,Bokaro,Jharkhand,829113,Traditional,Bancassurance,1,22-08-2023,-,-,Cancellation,Other Reason,Misrepresentation
706,51,Wife,Service,"  550,000 ","  30,404 ",Yearly,"  828,000 ",Married,Medical,10,10,HAZARIBAG,Jharkhand,829122,Traditional,Bancassurance,1,17-08-2023,-,-,Cancellation,Other Reason,Misrepresentation
707,49,Wife,Service,"  663,000 ","  25,039 ",Yearly,"  480,000 ",Married,Medical,10,10,Narsinghpur,Madhya Pradesh,487661,Traditional,Bancassurance,1,29-09-2023,-,-,Cancellation,Other Reason,Misrepresentation
708,55,Wife,Service,"  500,000 ","  34,401 ",Yearly,"  660,000 ",Married,Medical,10,10,Jorhat,Assam,785013,Traditional,Bancassurance,1,22-09-2023,-,-,Cancellation,Other Reason,Misrepresentation
709,51,Wife,Service,"  500,000 ","  31,799 ",Yearly,"  600,000 ",Married,Medical,10,10,Khammam,Telangana,507115,Traditional,Bancassurance,1,30-09-2023,-,-,Cancellation,Other Reason,Misrepresentation
710,46,Son,Service,"  500,000 ","  20,205 ",Yearly,"  432,000 ",Married,Non Medical,10,10,Sagar,Madhya Pradesh,470002,Traditional,Bancassurance,1,24-08-2023,-,-,Cancellation,Other Reason,Misrepresentation
711,56,Wife,Service,"  700,000 ","  50,722 ",Yearly,"  600,000 ",Married,Medical,10,10,Rajnandgaon,Chhattisgarh,491666,Traditional,Bancassurance,3,29-08-2023,-,-,Cancellation,Other Reason,Misrepresentation
712,56,Wife,Service,"  2,300,000 ","  155,819 ",Yearly,"  1,320,000 ",Married,Medical,15,10,-,-,-,Traditional,Bancassurance,1,28-08-2023,-,-,Cancellation,Other Reason,Misrepresentation
713,49,Wife,Service,"  1,500,000 ","  74,064 ",Yearly,"  1,000,000 ",Married,Medical,10,10,-,-,-,Traditional,Bancassurance,1,04-09-2023,-,-,Cancellation,Other Reason,Misrepresentation
714,48,Spouse,Service,"  1,350,000 ","  49,926 ",Yearly,"  1,140,000 ",Married,Medical,10,10,-,-,-,Traditional,Bancassurance,1,01-09-2023,-,-,Cancellation,Other Reason,Misrepresentation
715,42,Wife,Profession,"  1,000,000 ","  13,763 ",Yearly,"  720,000 ",Married,Non Medical,30,10,-,_Others,-,Traditional,Retail Agency,,02-09-2023,-,-,Cancellation,Other Reason,Misrepresentation
716,52,Spouse,Service,"  620,000 ","  36,373 ",Yearly,"  636,000 ",Married,Medical,10,10,Kamrup,Assam,781137,Traditional,Bancassurance,1,20-09-2023,-,-,Cancellation,Other Reason,Misrepresentation
717,47,Spouse,Service,"  600,000 ","  25,945 ",Yearly,"  672,000 ",Married,Non Medical,10,10,Koraput,Odisha,764085,Traditional,Bancassurance,1,26-09-2023,-,-,Cancellation,Other Reason,Misrepresentation
718,50,Wife,Service,"  1,250,000 ","  49,115 ",Yearly,"  960,000 ",Married,Medical,15,10,DHANBAD,Jharkhand,828121,Traditional,Bancassurance,1,22-09-2023,-,-,Cancellation,Other Reason,Misrepresentation
719,48,Wife,Service,"  800,000 ","  36,533 ",Yearly,"  396,000 ",Married,Non Medical,10,10,Davangare,Karnataka,577528,Traditional,Bancassurance,1,07-09-2023,-,-,Cancellation,Other Reason,Misrepresentation
720,50,Son,Service,"  1,000,000 ","  50,912 ",Yearly,"  576,000 ",Married,Non Medical,10,10,Kamrup,Assam,781101,Traditional,Bancassurance,1,18-09-2023,-,-,Cancellation,Other Reason,Misrepresentation
721,51,Wife,Service,"  800,000 ","  43,848 ",Yearly,"  2,400,000 ",Married,Medical,10,10,Cuddapah,Andhra Pradesh,516004,Traditional,Bancassurance,1,22-09-2023,-,-,Cancellation,Other Reason,Misrepresentation
722,55,Wife,Service,"  500,000 ","  26,297 ",Yearly,"  550,000 ",Married,Non Medical,10,10,Bangalore,Karnataka,560038,Traditional,Bancassurance,1,16-09-2023,-,-,Cancellation,Other Reason,Misrepresentation
723,48,Wife,Service,"  750,000 ","  27,972 ",Yearly,"  600,000 ",Married,Non Medical,10,10,Bilaspur,Chhattisgarh,495006,Traditional,Bancassurance,1,21-09-2023,-,-,Cancellation,Other Reason,Misrepresentation
724,46,Sister,Service,"  500,000 ","  20,205 ",Yearly,"  480,000 ",Single,Non Medical,10,10,Mayurbhanj,Odisha,757037,Traditional,Bancassurance,1,27-09-2023,-,-,Cancellation,Other Reason,Misrepresentation
725,57,Wife,Service,"  1,000,000 ","  75,104 ",Yearly,"  1,440,000 ",Married,Medical,10,10,Hyderabad,Telangana,500035,Traditional,Bancassurance,1,28-09-2023,-,-,Cancellation,Other Reason,Misrepresentation
726,48,Spouse,Service,"  1,100,000 ","  49,486 ",Yearly,"  672,000 ",Married,Non Medical,10,10,Koraput,Odisha,764070,Traditional,Bancassurance,1,30-09-2023,-,-,Cancellation,Other Reason,Misrepresentation
727,55,Son,Service,"  550,000 ","  38,991 ",Yearly,"  1,140,000 ",Married,Medical,10,10,Bokaro,Jharkhand,828134,Traditional,Bancassurance,1,20-10-2023,-,-,Cancellation,Other Reason,Misrepresentation
728,49,Wife,Service,"  550,000 ","  28,163 ",Yearly,"  780,000 ",Married,Medical,10,10,Bokaro,Jharkhand,829104,Traditional,Bancassurance,1,30-10-2023,-,-,Cancellation,Other Reason,Misrepresentation
729,50,Wife,Service,"  800,000 ","  41,273 ",Yearly,"  600,000 ",Married,Non Medical,10,10,Pamgarh,Chhattisgarh,495554,Traditional,Bancassurance,3,05-10-2023,-,-,Cancellation,Other Reason,Misrepresentation
730,50,Wife,Service,"  800,000 ","  41,273 ",Yearly,"  600,000 ",Married,Medical,10,10,Maharajganj,Uttar Pradesh,273162,Traditional,Bancassurance,1,10-10-2023,-,-,Cancellation,Other Reason,Misrepresentation
731,56,Wife,Service,"  500,000 ","  36,230 ",Yearly,"  720,000 ",Married,Medical,10,10,Barpeta,Assam,781314,Traditional,Bancassurance,1,18-10-2023,-,-,Cancellation,Other Reason,Misrepresentation
732,47,Wife,Service,"  700,000 ","  30,269 ",Yearly,"  500,000 ",Married,Non Medical,10,10,Singhbhum,Jharkhand,832104,Traditional,Bancassurance,1,30-10-2023,-,-,Cancellation,Other Reason,Misrepresentation
733,48,Wife,Service,"  1,200,000 ","  53,985 ",Yearly,"  1,104,000 ",Married,Non Medical,10,10,West Singhbhum,Jharkhand,833201,Traditional,Bancassurance,1,31-10-2023,-,-,Cancellation,Other Reason,Misrepresentation
734,54,Wife,Service,"  500,000 ","  32,641 ",Yearly,"  360,000 ",Married,Non Medical,10,10,Kuarmunda,Odisha,770033,Traditional,Bancassurance,1,09-11-2023,-,-,Cancellation,Other Reason,Misrepresentation
735,49,Wife,Service,"  500,000 ","  24,558 ",Yearly,"  540,000 ",Married,Non Medical,10,10,Yamuna Nagar,Haryana,135001,Traditional,Bancassurance,1,17-11-2023,-,-,Cancellation,Other Reason,Misrepresentation
736,56,Spouse,Service,"  500,000 ","  27,682 ",Yearly,"  480,000 ",Married,Medical,10,10,Nalbari,Assam,781349,Traditional,Bancassurance,1,21-12-2023,-,-,Cancellation,Other Reason,Misrepresentation
737,52,Wife,Service,"  4,200,000 ","  600,000 ",Half yearly,"  1,200,000 ",Married,Medical,10,10,MUNGER,Bihar,811202,ULIP,Retail Agency,,25-02-2022,-,-,Cancellation,Other Reason,Misrepresentation
738,39,Wife,Service,"  4,200,000 ","  600,000 ",Yearly,"  2,250,000 ",Married,Non Medical,10,10,ROHTAK,Haryana,124001,ULIP,Bancassurance,1,16-06-2023,-,-,Cancellation,Other Reason,Misrepresentation
739,42,Spouse,Business,"  17,500,000 ","  2,500,000 ",Yearly,"  7,200,000 ",Married,Medical,10,10,-,-,-,ULIP,Bancassurance,1,-,-,-,Rejection,Declined,Misrepresentation
